"Species" "SiteID" "Surface Type" "Plant growth type" "Biome" "Measure" "Value"
"91" "Smellophyllum capense" "4a" "shale" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 88
"92" "Smellophyllum capense" "4a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 43
"93" "Smellophyllum capense" "4a" "shale" "Tree" "Thicket" "Number of individuals in 1994" 13
"94" "Smellophyllum capense" "4a" "shale" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"95" "Smellophyllum capense" "4a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"96" "Smellophyllum capense" "4a" "shale" "Tree" "Thicket" "Number of individuals in 2008" NA
"97" "Smellophyllum capense" "4a" "shale" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 161
"98" "Smellophyllum capense" "4a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 91
"99" "Smellophyllum capense" "4a" "shale" "Tree" "Thicket" "Number of individuals in 2012" 2
"100" "Smellophyllum capense" "4b" "sandstone" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 67
"101" "Smellophyllum capense" "4b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 41
"102" "Smellophyllum capense" "4b" "sandstone" "Tree" "Thicket" "Number of individuals in 1994" 14
"103" "Smellophyllum capense" "4b" "sandstone" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"104" "Smellophyllum capense" "4b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"105" "Smellophyllum capense" "4b" "sandstone" "Tree" "Thicket" "Number of individuals in 2008" NA
"106" "Smellophyllum capense" "4b" "sandstone" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 0
"107" "Smellophyllum capense" "4b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 0
"108" "Smellophyllum capense" "4b" "sandstone" "Tree" "Thicket" "Number of individuals in 2012" 0
"109" "Smellophyllum capense" "5a" "shale" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 50
"110" "Smellophyllum capense" "5a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 11
"111" "Smellophyllum capense" "5a" "shale" "Tree" "Thicket" "Number of individuals in 1994" 8
"112" "Smellophyllum capense" "5a" "shale" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"113" "Smellophyllum capense" "5a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"114" "Smellophyllum capense" "5a" "shale" "Tree" "Thicket" "Number of individuals in 2008" NA
"115" "Smellophyllum capense" "5a" "shale" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 1000
